Feature,Importance
Temperature_C,0.16341377771599336
Wind_Speed_kmh,0.16056879544954733
Soil_Moisture,0.1540196464208707
Rainfall_mm,0.14565686983196302
Crop_Growth_Stage_Vegetative,0.09750475787940059
Mulching_Used_Yes,0.08741081380566802
Mulching_Used_No,0.07339205722122454
Crop_Growth_Stage_Flowering,0.05773517954666303
Crop_Growth_Stage_Harvest,0.035731470863821606
Crop_Growth_Stage_Sowing,0.023382710292898668
Soil_Type_Clay,0.0007293798845045385
Field_Area_hectare,0.0004545410874448561
Crop_Type_Sugarcane,0.0
Crop_Type_Rice,0.0
Season_Zaid,0.0
Season_Rabi,0.0
Season_Kharif,0.0
Soil_Type_Loamy,0.0
Soil_Type_Sandy,0.0
Soil_Type_Silt,0.0
Region_East,0.0
Region_Central,0.0
Soil_pH,0.0
Region_West,0.0
Region_South,0.0
Region_North,0.0
Humidity,0.0
Electrical_Conductivity,0.0
Organic_Carbon,0.0
Sunlight_Hours,0.0
